,id,from,at,to,open,close,min,max,volume
45,4159136,2025-10-15 05:37:00,2025-10-15 05:38:00,2025-10-15 05:38:00,1.129455,1.128975,1.128735,1.129455,0
46,4159137,2025-10-15 05:38:00,2025-10-15 05:39:00,2025-10-15 05:39:00,1.128955,1.128445,1.127915,1.128955,0
47,4159138,2025-10-15 05:39:00,2025-10-15 05:40:00,2025-10-15 05:40:00,1.128435,1.126785,1.126595,1.128435,0
48,4159139,2025-10-15 05:40:00,2025-10-15 05:41:00,2025-10-15 05:41:00,1.126785,1.126415,1.126185,1.126975,0
49,4159140,2025-10-15 05:41:00,2025-10-15 05:42:00,2025-10-15 05:42:00,1.126335,1.125535,1.125335,1.126335,0
50,4159141,2025-10-15 05:42:00,2025-10-15 05:43:00,2025-10-15 05:43:00,1.125795,1.125425,1.125425,1.126495,0
51,4159142,2025-10-15 05:43:00,2025-10-15 05:44:00,2025-10-15 05:44:00,1.125435,1.124725,1.124305,1.125755,0
52,4159143,2025-10-15 05:44:00,2025-10-15 05:45:00,2025-10-15 05:45:00,1.124485,1.124255,1.124105,1.124985,0
53,4159144,2025-10-15 05:45:00,2025-10-15 05:46:00,2025-10-15 05:46:00,1.124345,1.125265,1.124345,1.125375,0
54,4159145,2025-10-15 05:46:00,2025-10-15 05:47:00,2025-10-15 05:47:00,1.125205,1.123615,1.123615,1.125775,0
55,4159146,2025-10-15 05:47:00,2025-10-15 05:48:00,2025-10-15 05:48:00,1.123735,1.124355,1.123675,1.124505,0
56,4159147,2025-10-15 05:48:00,2025-10-15 05:49:00,2025-10-15 05:49:00,1.124355,1.123915,1.123705,1.124585,0
57,4159148,2025-10-15 05:49:00,2025-10-15 05:50:00,2025-10-15 05:50:00,1.123975,1.124515,1.123975,1.124905,0
58,4159149,2025-10-15 05:50:00,2025-10-15 05:51:00,2025-10-15 05:51:00,1.124435,1.125675,1.124315,1.126555,0
59,4159150,2025-10-15 05:51:00,2025-10-15 05:52:00,2025-10-15 05:52:00,1.125655,1.126575,1.125215,1.126575,0
60,4159151,2025-10-15 05:52:00,2025-10-15 05:53:00,2025-10-15 05:53:00,1.126515,1.125405,1.125405,1.126665,0
61,4159152,2025-10-15 05:53:00,2025-10-15 05:54:00,2025-10-15 05:54:00,1.125285,1.126255,1.125025,1.126415,0
62,4159153,2025-10-15 05:54:00,2025-10-15 05:55:00,2025-10-15 05:55:00,1.126355,1.127165,1.126275,1.127165,0
63,4159154,2025-10-15 05:55:00,2025-10-15 05:56:00,2025-10-15 05:56:00,1.127155,1.128785,1.127045,1.128835,0
64,4159155,2025-10-15 05:56:00,2025-10-15 05:57:00,2025-10-15 05:57:00,1.128705,1.127945,1.127945,1.129035,0
65,4159156,2025-10-15 05:57:00,2025-10-15 05:58:00,2025-10-15 05:58:00,1.128005,1.126065,1.125975,1.128095,0
66,4159157,2025-10-15 05:58:00,2025-10-15 05:59:00,2025-10-15 05:59:00,1.126095,1.126505,1.126095,1.126875,0
67,4159158,2025-10-15 05:59:00,2025-10-15 06:00:00,2025-10-15 06:00:00,1.126695,1.126705,1.126185,1.126945,0
68,4159159,2025-10-15 06:00:00,2025-10-15 06:01:00,2025-10-15 06:01:00,1.126815,1.126915,1.126565,1.127365,0
69,4159160,2025-10-15 06:01:00,2025-10-15 06:02:00,2025-10-15 06:02:00,1.127055,1.127345,1.126745,1.127605,0
70,4159161,2025-10-15 06:02:00,2025-10-15 06:03:00,2025-10-15 06:03:00,1.127385,1.128005,1.127005,1.128075,0
